blue.color,blue.stats.ball.possession_time,blue.stats.ball.time_in_side,blue.stats.boost.amount_collected,blue.stats.boost.amount_collected_big,blue.stats.boost.amount_collected_small,blue.stats.boost.amount_overfill,blue.stats.boost.amount_overfill_stolen,blue.stats.boost.amount_stolen,blue.stats.boost.amount_stolen_big,blue.stats.boost.amount_stolen_small,blue.stats.boost.amount_used_while_supersonic,blue.stats.boost.avg_amount,blue.stats.boost.bcpm,blue.stats.boost.bpm,blue.stats.boost.count_collected_big,blue.stats.boost.count_collected_small,blue.stats.boost.count_stolen_big,blue.stats.boost.count_stolen_small,blue.stats.boost.time_boost_0_25,blue.stats.boost.time_boost_25_50,blue.stats.boost.time_boost_50_75,blue.stats.boost.time_boost_75_100,blue.stats.boost.time_full_boost,blue.stats.boost.time_zero_boost,blue.stats.core.assists,blue.stats.core.goals,blue.stats.core.goals_against,blue.stats.core.saves,blue.stats.core.score,blue.stats.core.shooting_percentage,blue.stats.core.shots,blue.stats.core.shots_against,blue.stats.demo.inflicted,blue.stats.demo.taken,blue.stats.movement.count_powerslide,blue.stats.movement.time_boost_speed,blue.stats.movement.time_ground,blue.stats.movement.time_high_air,blue.stats.movement.time_low_air,blue.stats.movement.time_powerslide,blue.stats.movement.time_slow_speed,blue.stats.movement.time_supersonic_speed,blue.stats.movement.total_distance,blue.stats.positioning.time_behind_ball,blue.stats.positioning.time_defensive_half,blue.stats.positioning.time_defensive_third,blue.stats.positioning.time_infront_ball,blue.stats.positioning.time_neutral_third,blue.stats.positioning.time_offensive_half,blue.stats.positioning.time_offensive_third,duration,max.game.rank,orange.color,orange.stats.ball.possession_time,orange.stats.ball.time_in_side,orange.stats.boost.amount_collected,orange.stats.boost.amount_collected_big,orange.stats.boost.amount_collected_small,orange.stats.boost.amount_overfill,orange.stats.boost.amount_overfill_stolen,orange.stats.boost.amount_stolen,orange.stats.boost.amount_stolen_big,orange.stats.boost.amount_stolen_small,orange.stats.boost.amount_used_while_supersonic,orange.stats.boost.avg_amount,orange.stats.boost.bcpm,orange.stats.boost.bpm,orange.stats.boost.count_collected_big,orange.stats.boost.count_collected_small,orange.stats.boost.count_stolen_big,orange.stats.boost.count_stolen_small,orange.stats.boost.time_boost_0_25,orange.stats.boost.time_boost_25_50,orange.stats.boost.time_boost_50_75,orange.stats.boost.time_boost_75_100,orange.stats.boost.time_full_boost,orange.stats.boost.time_zero_boost,orange.stats.core.assists,orange.stats.core.goals,orange.stats.core.goals_against,orange.stats.core.saves,orange.stats.core.score,orange.stats.core.shooting_percentage,orange.stats.core.shots,orange.stats.core.shots_against,orange.stats.demo.inflicted,orange.stats.demo.taken,orange.stats.movement.count_powerslide,orange.stats.movement.time_boost_speed,orange.stats.movement.time_ground,orange.stats.movement.time_high_air,orange.stats.movement.time_low_air,orange.stats.movement.time_powerslide,orange.stats.movement.time_slow_speed,orange.stats.movement.time_supersonic_speed,orange.stats.movement.total_distance,orange.stats.positioning.time_behind_ball,orange.stats.positioning.time_defensive_half,orange.stats.positioning.time_defensive_third,orange.stats.positioning.time_infront_ball,orange.stats.positioning.time_neutral_third,orange.stats.positioning.time_offensive_half,orange.stats.positioning.time_offensive_third,overtime,overtime_seconds,server.region
blue,37.82658959537572,37.41618497109827,4807,3532,1275,818,306,1085,705,380,690,95.509995,877.24316,845,45,115,10,37,77.63294797687863,42.1242774566474,28.77456647398844,45.176300578034684,15.93352514450867,28.205202312138727,2,4,2,5,1384,44.444443,9,8,3,2,116,81.85549132947978,117.83236994219652,6.910404624277457,73.61271676300578,4.043352601156069,82.60404624277456,33.895953757225435,1015440,156.00868208092484,114.29479768786126,83.71098265895954,42.34971098265896,62.69942196531792,84.06068786127167,51.94219653179191,346,Grand Champion I,orange,38.4393063583815,54.40173410404624,4768,3495,1273,917,195,930,609,321,576,102.36,870.1259,821,44,117,8,32,51.017338150289014,41.12138728323699,42.34681791907515,55.02601156069363,16.722543352601154,19.82369942196532,1,2,4,3,896,25.0,8,9,2,3,75,76.6271676300578,110.7514450867052,10.254335260115607,76.1849710982659,3.23121387283237,93.77456647398843,26.78901734104046,953103,139.51445086705203,133.8063583815029,103.70520231213874,57.67630057803468,58.41907514450867,63.38439306358381,35.066473988439306,False,0.0,EU
blue,41.34110787172012,48.906705539358605,4539,3095,1444,842,178,942,424,518,541,104.26,827.756,797,39,122,6,45,52.02623906705539,39.82798833819242,42.349854227405245,56.64722740524781,26.02624023323615,12.562682215743443,0,3,1,4,967,30.0,10,7,4,2,89,77.14868804664722,109.49562682215743,12.714285714285714,76.40233236151603,3.0816326530612246,91.94169096209913,29.524782507288627,993364,146.5801807580175,120.07580174927115,83.97085131195335,52.03498542274052,68.66472303206997,78.53935860058309,45.9795889212828,343,Grand Champion II,orange,37.49562682215744,45.3935860058309,5329,4169,1160,673,73,1048,726,322,991,97.76,971.8246,961,48,104,8,27,64.77842565597668,44.037897959183674,30.52186588921283,49.67055393586006,20.93586005830904,32.21574344023323,1,1,3,2,528,14.285714,7,10,2,4,119,78.52478134110787,100.84256559766764,13.542274052478135,82.49271137026238,3.9941693877551017,80.88046064139942,37.46355685131195,1011994,142.33819241982508,123.35568513119534,83.36443148688046,54.533524781341114,69.05539941690961,73.51895335276967,44.451895043731774,False,0.0,EU
blue,34.886297376093296,48.59475218658893,5261,3603,1658,576,77,734,249,485,659,82.54,960.27014,915,43,146,3,43,87.15451895043732,39.279886297376095,27.402332361516034,38.28279883381924,19.17784256559767,31.583090379008745,2,4,0,5,1358,36.363636,11,7,2,3,128,87.53060641399418,103.61224489795917,12.91545189504373,80.98542274052477,4.562682215743441,71.15451895043732,38.82798833819242,1058144,152.12536443148687,128.45480466472304,88.87172594752187,45.38775510204081,70.19825072886297,69.05830903790088,38.443148688046655,343,Grand Champion II,orange,47.699708454810505,45.59766763848397,5228,3780,1448,815,136,1435,921,514,816,95.06,954.24677,934,48,122,11,37,75.96501457725947,45.36443148688046,29.68804664723032,44.542274052478135,17.574344023323615,26.941690962099123,0,0,4,7,826,0.0,7,11,3,2,90,75.50436734693878,107.6938775510204,8.96793002915452,81.29737609329447,3.2332361516034984,81.63848979591836,40.822157434402335,1030824,148.2274052478134,125.67930612244898,92.97376676384839,49.734693877551024,60.45481049562682,72.28279883381924,44.533527696793,False,0.0,USE
blue,38.37391304347826,36.21449275362319,4872,3610,1262,854,284,1213,818,395,664,99.35,901.9161,855,46,113,11,35,61.22608695652174,43.278260869565216,36.73623188405797,49.927536231884055,29.162318840579708,16.921739130434784,2,2,5,1,740,25.0,8,7,1,2,122,83.05797101449276,111.90725217391304,11.365217391304348,74.56811594202898,3.3942028985507253,85.91304927536231,28.8695652173913,975720,148.91014492753624,116.12463768115941,79.66956521739131,48.93043478260869,76.51884057971014,81.71884057971015,41.65217391304348,345,Grand Champion I,orange,34.2231884057971,54.002898550724645,4153,2936,1217,550,55,836,544,292,382,105.21,768.8131,777,37,111,6,26,56.88695942028985,38.507246376811594,40.92753913043478,54.565217391304344,23.93913043478261,13.10144927536232,1,5,2,6,1359,71.42857,7,8,2,1,212,81.41159420289856,107.13623188405796,11.707246376811595,79.93333333333332,5.107246376811594,91.57100869565218,25.79710144927536,977405,145.45217391304348,137.93623188405797,103.17101449275363,53.33043478260869,59.142031884057964,60.84347826086957,36.46376811594203,False,0.0,EU
blue,44.901408450704224,52.25915492957747,4481,2777,1704,461,64,859,219,640,593,91.770004,790.4857,774,33,152,3,51,73.63380281690141,45.414084507042254,30.27323943661972,44.929577464788736,13.904225352112675,24.766197183098594,1,1,3,5,824,20.0,5,9,0,2,111,81.68732394366197,108.74365633802819,12.5943661971831,76.78028169014084,3.163380281690141,87.53802816901408,28.890140845070423,1038855,139.59154929577466,133.44788732394366,91.34084507042253,58.52675774647887,75.09296338028169,64.67323943661972,31.684505915492956,355,Grand Champion II,orange,37.183098591549296,41.99718309859155,5567,4494,1073,771,139,1256,878,378,648,104.91,982.0652,939,54,99,10,34,60.44788732394366,31.11830985915493,33.40281690140845,70.34366197183098,22.698591549295774,34.38591267605634,2,3,1,4,1005,33.333332,9,5,2,0,102,84.93521690140845,104.80281690140845,11.183097746478875,83.83661971830986,3.1352112676056336,79.8056338028169,35.08450704225352,1066739,163.5324056338028,122.49577464788732,90.79718873239436,36.292957746478876,69.12394366197184,77.32957746478873,39.90140845070423,False,0.0,EU
blue,51.57948717948718,42.44615384615385,2764,2006,758,580,33,619,346,273,322,105.43,890.36835,877,26,65,4,25,55.36410256410256,42.205128205128204,37.056407692307694,57.16922871794872,17.75897435897436,21.58974358974359,0,0,2,3,332,0.0,1,5,0,0,68,80.29230769230769,105.32307692307693,11.394872307692308,82.55896923076924,3.420512820512821,79.48205128205129,39.5025641025641,586112,142.33846153846156,122.75897435897436,82.64102564102565,56.943584615384616,69.95384615384616,76.52307692307693,46.68205128205128,195,Grand Champion II,orange,28.717948717948715,52.42051282051282,2846,2266,580,258,11,320,192,128,305,91.6,916.783,862,25,51,2,11,67.49230769230769,53.410256410256416,21.48205128205128,49.95897435897436,22.810256410256407,33.825641025641026,0,2,0,1,474,40.0,5,1,0,0,56,72.8923076923077,104.84615384615384,8.405128205128205,86.43077435897436,3.8205128205128203,102.73333333333335,24.056410256410253,533785,159.3487076923077,136.43076923076924,98.51282051282051,40.333333333333336,71.12820512820512,63.251282051282054,30.04102564102564,False,0.0,EU
blue,49.400584795321635,43.83918128654971,4583,3080,1503,577,25,987,474,513,506,93.44,839.3517,780,37,126,5,44,70.41228070175438,48.79824561403508,30.093567251461987,45.40058479532164,17.84210643274854,24.614032163742692,1,1,3,5,1025,10.0,10,9,2,2,124,78.21052631578948,106.26608187134504,8.17543859649123,83.9766081871345,3.8011695906432745,91.90643274853801,28.29824561403509,969531,147.23099415204678,118.87719298245614,86.31286549707602,51.184207602339185,59.07017251461989,79.53801754385964,53.03216374269007,342,Grand Champion III,orange,35.254385964912274,50.3391812865497,4467,3242,1225,1092,245,645,361,284,629,103.2,818.10693,816,43,110,6,27,60.61695906432749,45.58771929824561,37.45614035087719,50.91228070175438,27.72514619883041,16.608188011695905,1,3,1,4,1081,33.333332,9,10,2,2,107,75.39766081871345,111.18128654970761,8.388888596491228,78.8391812865497,3.6111111111111107,97.74269005847952,25.26608187134503,961108,156.08188596491232,130.78947368421052,96.70175438596492,42.32456140350877,61.79239766081872,67.61695906432749,39.91520467836257,False,0.0,USE
blue,39.59550561797753,48.7247191011236,3748,2606,1142,813,108,719,390,329,208,107.08,663.7936,569,34,101,5,29,38.575842696629216,48.8623595505618,47.59550561797753,58.75280898876405,31.07865168539326,13.207865168539326,3,3,2,2,972,50.0,6,5,1,3,73,74.42415730337079,124.2808988764045,5.477528089887641,67.71910112359551,3.2528089887640452,111.03370786516852,12.019662921348315,897214,150.1966151685393,130.1994382022472,93.0561797752809,47.28089887640449,71.21067696629213,67.2724691011236,33.21348314606741,356,Champion I,orange,39.66573033707866,44.283707865168545,4460,3313,1147,911,195,1239,814,425,375,115.86,789.8932,778,44,107,10,38,42.924157303370784,35.137641573033704,46.78090168539325,67.52247191011236,27.446629213483142,10.49438202247191,0,2,3,2,780,40.0,5,6,3,1,112,78.33988764044943,122.74718539325843,9.651685393258427,67.81741573033709,5.070224719101124,100.01685393258425,21.8623595505618,979636,142.86516853932585,120.43258426966293,92.89887640449439,57.353932584269664,58.724719101123604,79.78370786516852,48.59550561797753,False,0.0,EU
blue,21.705479452054796,61.55479452054795,2927,2278,649,634,21,402,279,123,175,104.45,818.2239,747,30,59,3,12,39.49657534246575,30.989726027397257,23.1541095890411,54.041095890410965,25.59246438356164,10.424657191780822,2,2,7,3,640,50.0,4,13,0,1,88,55.976027397260275,80.4486301369863,7.407534246575342,67.16095890410959,2.4246575342465753,80.37671232876711,18.667808904109588,574249,113.48972602739727,121.95890410958906,104.92808219178083,41.527395547945204,33.393833904109584,33.05821917808219,16.69863082191781,292,Champion II,orange,27.006849315068493,23.647260273972602,3607,2838,769,789,166,906,544,362,317,106.05,814.43567,783,36,71,7,34,57.60958904109589,40.14725890410959,26.873287671232877,64.41095890410959,24.777397260273972,18.90753424657534,3,7,2,1,1378,53.846153,13,4,1,0,87,87.23972260273973,122.19863013698631,12.332192465753424,65.43835616438358,3.205479794520548,89.6541095890411,23.078767123287673,801687,160.47944520547946,103.71233904109589,75.31164383561644,39.48972602739726,65.88698630136986,96.26027397260273,58.770547945205486,False,0.0,USE
blue,10.384615384615383,7.769230769230768,477,345,132,53,0,48,0,48,48,84.72,852.29297,676,4,11,0,4,82.0,59.20512820512821,30.743589743589745,19.871794871794872,16.94871794871795,55.15384102564103,0,1,1,0,124,0.0,0,1,0,0,17,80.02564102564102,118.07692307692308,6.999999999999999,77.17948205128205,2.9487179487179485,94.7948717948718,27.435897435897434,100621,165.4102564102564,121.05128205128206,85.74359487179487,36.84615384615385,73.66666666666667,81.23076923076923,42.82051282051282,39,Champion I,orange,38.76923076923077,79.84615384615384,498,379,119,225,0,12,0,12,53,104.96,889.8153,751,6,12,0,1,37.58974358974359,62.46153846153846,33.1025641025641,57.025646153846154,31.743589743589745,10.512820512820511,1,1,1,0,216,100.0,1,0,0,0,17,70.84615641025641,123.23076410256411,0.0,77.53846153846153,4.897436153846154,97.10257179487178,32.8974358974359,100722,148.17948717948718,172.41026923076925,140.66666666666669,52.61538461538462,49.30769230769231,28.384615384615387,10.820512820512821,False,0.0,USE
